file,Assays,treatment,SynCom9,date,day,format,plant_region_red_channel,plant_region_green_channel,plant_region_blue_channel,plant_region_chroma_ratio,plant_region_chroma_difference,plant_region_chroma_base,plant_region_green_strength,plant_region_blue_green_ratio,total_area,class_background_area,plant_region_area,plant_region_filled_area,plant_region_convex_area,plant_region_equivalent_diameter,plant_region_major_axis_length,plant_region_minor_axis_length,plant_region_perimeter,plant_region_eccentricity,plant_region_extent,plant_region_solidity,plant_region_aspect_ratio
hP_c01,Experiment 2,highP_control,no,17.06.22,day 04,JPG,84.58666666666670,116.92571428571400,113.06285714285700,1.1831621147582100,-18.10095238095240,1.6903854299025800,0.37169395465995000,0.9669631512071160,23982000,23929919,52081,52081,138109,257.51036625610200,386.3825921855830,291.83498890009600,1575.7401153701800,0.6553785635264390,0.23878975167809900,0.37710069582720900,1.323976243019490
hP_c02,Experiment 2,highP_control,no,17.06.22,day 04,JPG,83.27811550151980,115.97872340425500,116.90121580547100,1.1587482348653900,-15.889057750759900,1.7260004717352000,0.36683779418551000,1.0079539796105600,23982000,23916699,65301,65301,83043,288.3466932544070,467.50912460396000,208.06248234008600,1955.1959594928900,0.8955083298685150,0.4986255555046500,0.7863516491456230,2.246965043124870
hP_c03,Experiment 2,highP_control,no,17.06.22,day 04,JPG,109.24941176470600,149.6964705882350,131.6,1.2430710915290000,-29.271764705882300,1.608918438880240,0.38330059886011700,0.8791122428129080,23982000,23939530,42470,42470,1432281,232.5392084464520,936.989478368288,412.47933125002900,1242.669047558310,0.897891083110796,0.0109473011306884,0.029652002644732400,2.2716034656299500
hP_c04,Experiment 2,highP_control,no,17.06.22,day 04,JPG,113.41938250428800,135.04116638078900,141.27015437392800,1.0604374882142200,-7.696397941680970,1.8860140481906300,0.34649865984780800,1.0461265861372600,23982000,23865919,116081,116081,455222,384.4462505896010,673.051083104625,300.69816159106200,3297.6223663640900,0.894649497389395,0.1461406755548840,0.25499865999446400,2.2382946391935300
hP_c05,Experiment 2,highP_control,no,17.06.22,day 04,JPG,93.91103603603600,128.65202702702700,127.27477477477500,1.1632936720074500,-18.059121621621600,1.7192563220503700,0.3677476050679850,0.989294748912406,23982000,23892899,88101,88101,173195,334.92338994270400,539.6287888600540,407.813963021232,2506.509667991880,0.6548826851113590,0.318878400486456,0.5086809665406050,1.3232229344534700
hP_c06,Experiment 2,highP_control,no,17.06.22,day 04,JPG,103.22647702407000,132.43763676148800,131.43544857768100,1.1287526634060800,-15.106673960612700,1.771867358403280,0.36076762366293200,0.9924327539488470,23982000,23891130,90870,90870,212370,340.14596488872900,568.2878006179600,334.98933818915300,3115.6223663640900,0.8077893339747080,0.2920400056563270,0.4278852945331260,1.6964354856484300
hP_c07,Experiment 2,highP_control,no,17.06.22,day 04,JPG,103.51067323481100,133.5878489326770,131.38259441707700,1.1374344634743100,-16.141215106732300,1.7583430643476100,0.36253648537242900,0.9834921025136750,23982000,23921469,60531,60531,275101,277.6156747778560,747.6650880593400,300.8543678678690,2198.953318805770,0.9154675127309700,0.1352684317791760,0.2200319155510160,2.4851395489385200
hP_c08,Experiment 2,highP_control,no,17.06.22,day 04,JPG,95.46265060240960,129.84578313253000,124.11927710843400,1.182663659857450,-20.054819277108400,1.6910978732880500,0.37159555210757700,0.9558976357495450,23982000,23899399,82501,82501,479909,324.10420497148100,685.628267291337,313.27236233401500,2653.5807358037400,0.8895114681232150,0.10470267972155800,0.17190967454246500,2.188601197319510
hP_c09,Experiment 2,highP_control,no,17.06.22,day 04,JPG,104.67627118644100,139.28813559322000,138.1271186440680,1.1473327097323600,-17.886440677966100,1.743173521538090,0.3645412848106320,0.991664638598199,23982000,23923668,58332,58332,450607,272.5263457420060,1014.6287944536200,421.8004236383400,2631.095454429510,0.9094931276422540,0.06892689013669110,0.12945205023446200,2.4054712551061400
hP_c10,Experiment 2,highP_control,no,17.06.22,day 04,JPG,107.08764367816100,116.06226053639800,137.84147509578500,0.9477212110783480,6.402298850574710,2.1103252482070500,0.321509784411277,1.1876511318901700,23982000,23774368,207632,208422,2650958,514.1646362328430,1204.2301528459700,1012.0012750009900,9600.482322781410,0.5420100915194720,0.04539148494288680,0.07832338347118290,1.18994924472283
hP_c11,Experiment 2,highP_control,no,20.06.22,day 07,JPG,84.38812785388130,104.1329908675800,117.91780821917800,1.0294605574991500,-2.980022831050240,1.9427650582928200,0.3398164583958080,1.132377042441120,23982000,23808059,173941,174141,4508722,470.604461996249,1735.2306838367500,1361.1505265797600,7668.558441227160,0.6202293719270490,0.0233302577915625,0.03857878130432530,1.274826442742500
hP_c12,Experiment 2,highP_control,no,20.06.22,day 07,JPG,84.4070006863418,107.601921757035,116.67810569663700,1.0702127441711200,-7.05936856554564,1.8687873143848500,0.34857934395684800,1.0843496453538800,23982000,23836929,145071,145171,1540010,429.77916886963600,1424.2288963084800,786.8345172519900,5761.060966544100,0.8335370735193870,0.04882161907486240,0.09420133635495870,1.810074246974560
hP_c13,Experiment 2,highP_control,no,20.06.22,day 07,JPG,93.3598233995585,122.04782928624000,131.30169242089800,1.0865041023205500,-9.717071376011790,1.840766174493410,0.35201770880643800,1.0758216118121600,23982000,23846779,135221,136621,795340,414.93219262746200,773.96424011588,519.4936785728830,4214.977705423410,0.7412659151245720,0.09703681803111870,0.17001659667563600,1.489843422622700
hP_c14,Experiment 2,highP_control,no,20.06.22,day 07,JPG,92.46653543307090,130.48425196850400,127.93569553805800,1.1840556367652800,-20.28313648293960,1.6891098170553900,0.37187027233235700,0.9804684749922060,23982000,23830539,151461,151461,331321,439.1424992928060,726.0107771488440,441.06222996604100,4263.462986797650,0.7943084235538980,0.3195339299502540,0.4571427709079710,1.6460506654690000
hP_c15,Experiment 2,highP_control,no,20.06.22,day 07,JPG,90.08214285714290,115.70714285714300,125.896875,1.0714665156378900,-7.717633928571430,1.8666005617630700,0.3488452536215790,1.088064849682080,23982000,23756586,222154,222154,2206376,531.8413840809080,1101.7175935672100,816.0811673103770,8252.156420973600,0.6717969493894700,0.05601411585774810,0.10068728086237300,1.3500098246332900
hP_c16,Experiment 2,highP_control,no,20.06.22,day 07,JPG,69.46728307254620,104.83926031294500,104.49857752489300,1.2052854502935500,-17.856330014224800,1.659357955008010,0.3760306122448980,0.9967504273968140,23982000,23842548,139452,139452,373751,421.37370704922700,545.5539299343250,512.3654559789710,3066.0660171779800,0.34346480466402700,0.2006468953054050,0.37311472076328900,1.0647750030140900
hP_c17,Experiment 2,highP_control,no,20.06.22,day 07,JPG,86.10163111668760,123.44667503136800,124.97992471769100,1.1696585667411700,-17.90589711417820,1.709900698262980,0.369017211826614,1.0124203400855800,23982000,23823828,158172,158172,253311,448.76591366752700,571.3935527843010,478.64160643890900,3450.107647738330,0.5461703258942170,0.41808608494306500,0.6244182052891510,1.1937816209407
hP_c18,Experiment 2,highP_control,no,20.06.22,day 07,JPG,83.51586874663800,103.78052716514300,111.70306616460500,1.0632219381007000,-6.171059709521250,1.8810748051086400,0.3470926885434660,1.0763393597611500,23982000,23797049,184951,185151,387215,485.26995274621400,795.745377605544,488.882855935439,4152.634559672910,0.7890173108017300,0.33577149870012900,0.4776442028330510,1.627681085447240
hP_c19,Experiment 2,highP_control,no,20.06.22,day 07,JPG,76.99170984455960,109.06321243523300,106.44041450777200,1.1891397193410600,-17.347150259067400,1.681888147768090,0.3728716280849440,0.9759515801075580,23982000,23886029,95971,95971,3986056,349.5626872933930,4417.850970107240,406.7073103571190,2353.095454429510,0.9957534627013730,0.013110219225389100,0.02407668131105030,10.862482324765800
hP_c20,Experiment 2,highP_control,no,20.06.22,day 07,JPG,94.09174311926610,111.94495412844000,122.84862385321100,1.0320343391199500,-3.4747706422018300,1.9379200131126000,0.34037686374604200,1.0974020652352100,23982000,23830110,151890,152090,899592,439.7639758436610,1428.9432262255900,527.1061705441250,4701.261976670880,0.9294776964480650,0.12487544519095100,0.1688432089213780,2.710921074497210
hP_c21,Experiment 2,highP_control,no,23.06.22,day 10,JPG,65.78346965131300,104.71760654326300,90.61127851915630,1.3391447956950800,-26.520232458028400,1.493490477227980,0.40104424265205300,0.8652917261026310,23982000,23751646,230354,236944,360877,541.5679293384380,751.2105327577210,567.0245755869290,4692.232539419350,0.6559383545977020,0.42933558978335100,0.6383172105731320,1.3248288788544000
hP_c22,Experiment 2,highP_control,no,23.06.22,day 10,JPG,88.35994970135180,117.059100911663,121.03740961961600,1.118057088124330,-12.360421251178900,1.7888174237643200,0.358574925514561,1.0339854712446100,23982000,23657727,315663,315663,3057836,633.9673606817120,1222.4319994004200,1064.2628404114800,11792.16356364850,0.4919719010148400,0.05504167231911100,0.10323084691265300,1.1486185113141600
hP_c23,Experiment 2,highP_control,no,23.06.22,day 10,JPG,85.03014065639650,118.97789685197600,111.0468854655060,1.2135832453722200,-20.93938379102480,1.6480122048706900,0.3776417639467920,0.9333404641003410,23982000,23833559,148441,148441,760529,434.7423964372840,729.509628525904,423.14170432199900,2984.5512985522200,0.8145909804431630,0.10101016287132600,0.19518124884126700,1.7240315030984700
hP_c24,Experiment 2,highP_control,no,23.06.22,day 10,JPG,65.73314065510600,109.15462427745700,102.69749518304400,1.2961374127014100,-24.9393063583815,1.543046269941090,0.3932291802237500,0.9408442002603650,23982000,23775569,206431,206431,306674,512.675445539597,769.7295092588680,524.7961662260370,4693.747258045110,0.7315451794528610,0.4642821799992800,0.6731284686670540,1.4667209076511000
hP_c25,Experiment 2,highP_control,no,23.06.22,day 10,JPG,87.20498866213150,119.73061224489800,121.14467120181400,1.1493238080934100,-15.55578231292520,1.7401536328719800,0.3649430411505400,1.0118103376438400,23982000,23762898,219102,220502,1822189,528.1754734276890,1074.3962081635900,684.8489014752620,6919.97265478953,0.770510945203328,0.07659827073378450,0.12024109463946900,1.5688076681574400
hP_c26,Experiment 2,highP_control,no,23.06.22,day 10,JPG,81.10294615645110,99.50084659668130,109.94852692177400,1.0416129746975700,-3.975110057568570,1.9200989701387900,0.3424541463238390,1.1050009189111900,23982000,23688486,293514,295914,4300240,611.321218127914,1514.8819841180100,918.5536391596330,10170.76659402890,0.7951953951217160,0.0438236269003019,0.0682552601715253,1.6492036170080900
hP_c27,Experiment 2,highP_control,no,23.06.22,day 10,JPG,78.03484139365570,103.56058242329700,101.02652106084200,1.1567049530254000,-14.029901196047800,1.7290493956725400,0.3664279589756420,0.9755306381718030,23982000,23791107,190893,191393,2244481,493.00356632901700,903.3077334656560,750.2928652529860,5025.404112294610,0.5568604812186040,0.05748791775884670,0.08504995141415770,1.2039401882904400
hP_c28,Experiment 2,highP_control,no,23.06.22,day 10,JPG,82.80628465804070,131.6757855822550,114.26469500924200,1.336328522896320,-33.14029574861370,1.496637964192560,0.40053865011357800,0.8677730267867920,23982000,23712618,268882,276522,399255,585.1078492615530,937.2510097253850,541.1381676369180,4889.6467529817300,0.8164844756419500,0.45259624836724500,0.6734593179797370,1.7319994518557800
hP_c29,Experiment 2,highP_control,no,23.06.22,day 10,JPG,86.41975308641980,108.14047380714000,113.76943610276900,1.0803827543848200,-8.045879212545900,1.8511957839782500,0.3507300360148220,1.052052317670330,23982000,23684277,297723,297723,2315540,615.6887988076340,1167.8315438408700,842.2703660798410,8103.97265478953,0.6926999271214220,0.08249386539105220,0.1285760556932720,1.3865281159971000
hP_c30,Experiment 2,highP_control,no,23.06.22,day 10,JPG,87.68178202068420,115.7903739061260,119.57597454256200,1.117356241099630,-12.161495624502800,1.7899394359955600,0.35843071971315400,1.0326935694974500,23982000,23732397,249603,249603,3091898,563.7414390343600,1921.2725286652400,803.7086112926920,9081.671139599360,0.908299265572323,0.052799257773201100,0.08072808352668810,2.3905088257982600
hP_c31,Experiment 2,highP_control,no,27.06.22,day 14,JPG,110.15543071161000,164.68258426966300,144.96488764044900,1.2910189618249400,-37.122425093633000,1.5491639233345300,0.39228548264244700,0.8802684769815960,23982000,23558014,423986,423986,620191,734.735150659122,934.4594722446060,863.1775972543370,6445.830519165800,0.3830717223493570,0.4881262815177080,0.6836377825540840,1.0825807750537200
hP_c32,Experiment 2,highP_control,no,27.06.22,day 14,JPG,121.7067375332190,179.62154134750700,158.75003908081900,1.280921384864240,-39.39315304048770,1.5613760716564000,0.3904151409337230,0.8838028996404820,23982000,23346091,635309,640469,891910,899.3889825465680,1093.467033990330,1035.6474297342100,7681.955410846830,0.3208716652312280,0.4924509493867120,0.712301689632362,1.0558294286222100
hP_c33,Experiment 2,highP_control,no,27.06.22,day 14,JPG,112.08691308691300,153.1868131868130,144.77182817182800,1.1927708781575300,-24.757442557442600,1.6767679666101500,0.37358486520832000,0.9450671709925650,23982000,23484754,497246,506496,1485843,795.6841525764990,1141.9530368701700,917.240901228502,8640.925973595300,0.5956808592958480,0.2219150766901830,0.33465581491449600,1.2449870424887300
hP_c34,Experiment 2,highP_control,no,27.06.22,day 14,JPG,105.85135437653900,150.02283411685700,130.60040295500300,1.268950891377830,-31.79695545108580,1.5761051224199900,0.3881829166430140,0.8705368334348030,23982000,23538055,443945,447945,1067871,751.8299872228110,937.7118941397750,836.4974898206250,7814.6417023478400,0.45191231145460700,0.23475689075683600,0.41572905341562800,1.120997857794950
hP_c35,Experiment 2,highP_control,no,27.06.22,day 14,JPG,113.70193115029400,157.35264483627200,148.84326896165700,1.1986708937674400,-26.080044780296700,1.6685146943995300,0.3747403010741220,0.9459216215687420,23982000,23627197,354803,356144,1880526,672.1229130082310,841.7553528790460,802.9823811803730,6879.97265478953,0.30000395862288600,0.1195709904627100,0.1886722119236850,1.048286204787800
