Assays,date,treatment,SynCom9,pot_nr.,shoot_fresh_weight,shoot_dry_weight,roots_fresh_weight,roots_dry_weight
Experiment 1,30.05.22,noP_control,no,1,28.54,2.85,21.66,1.8
Experiment 1,30.05.22,noP_control,no,2,49.65,4.66,23.03,2.06
Experiment 1,30.05.22,noP_control,no,3,41.62,4.54,6.69,0.89
Experiment 1,30.05.22,noP_SynCom9,yes,1,77.64,7.25,21.15,2.31
Experiment 1,30.05.22,noP_SynCom9,yes,2,96.87,9.51,31.05,3.3
Experiment 1,30.05.22,noP_SynCom9,yes,3,67.75,7.26,27.72,3.45
Experiment 1,30.05.22,noP_SynCom9,yes,4,67.67,6.47,22.92,2.75
Experiment 1,30.05.22,noP_SynCom9,yes,5,67.4,7.09,18.08,2.69
Experiment 1,30.05.22,noP_SynCom9,yes,6,84.23,6.67,28.56,3.71
Experiment 1,30.05.22,noP_SynCom9,yes,7,91.24,8.7,19.6,2.57
Experiment 1,30.05.22,noP_SynCom9,yes,8,80.95,8.65,29.24,3.84
Experiment 1,30.05.22,noP_SynCom9,yes,9,85.55,7.67,34.02,3.84
Experiment 1,30.05.22,noP_SynCom9,yes,10,57.7,5.49,17.12,1.91
Experiment 1,30.05.22,lowP_control,no,1,31.47,3.34,9.2,0.92
Experiment 1,30.05.22,lowP_control,no,2,41.62,4.38,19.05,2.31
Experiment 1,30.05.22,lowP_control,no,3,43.4,4.75,18.44,2.03
Experiment 1,30.05.22,lowP_control,no,4,36.91,3.71,10.71,1.17
Experiment 1,30.05.22,lowP_control,no,5,36.96,2.94,17.76,2.07
Experiment 1,30.05.22,lowP_SynCom9,yes,1,111.1,10.2,16.25,1.66
Experiment 1,30.05.22,lowP_SynCom9,yes,2,74.44,6.13,28.4,3.21
Experiment 1,30.05.22,lowP_SynCom9,yes,3,48.25,3.94,46.03,5.26
Experiment 1,30.05.22,lowP_SynCom9,yes,4,94.85,9.26,36.61,4.63
Experiment 1,30.05.22,lowP_SynCom9,yes,5,85.09,8.29,24.5,2.85
Experiment 1,30.05.22,lowP_SynCom9,yes,6,68.13,4.06,16.15,1.88
Experiment 1,30.05.22,lowP_SynCom9,yes,7,85.73,6.81,26.07,3.13
Experiment 1,30.05.22,lowP_SynCom9,yes,8,70.35,6.62,20.38,2.2
Experiment 1,30.05.22,lowP_SynCom9,yes,9,62.55,6.49,38.61,4.26
Experiment 1,30.05.22,lowP_SynCom9,yes,10,76.18,7.57,24.52,3.07
Experiment 2,04.07.22,noP_SynCom9,yes,1,97.27,9.12,,
Experiment 2,04.07.22,noP_SynCom9,yes,2,85.96,7.99,,
Experiment 2,04.07.22,noP_SynCom9,yes,3,68.57,6.4,,
Experiment 2,04.07.22,noP_SynCom9,yes,4,73.59,7.32,,
Experiment 2,04.07.22,noP_SynCom9,yes,5,57.34,5.56,,
Experiment 2,04.07.22,noP_SynCom9,yes,6,66.36,6.42,,
Experiment 2,04.07.22,noP_SynCom9,yes,7,53.55,5.29,,
Experiment 2,04.07.22,noP_SynCom9,yes,8,58.55,6.04,,
Experiment 2,04.07.22,noP_SynCom9,yes,9,91.77,8.91,,
Experiment 2,04.07.22,noP_SynCom9,yes,10,84.64,8.33,,
Experiment 2,04.07.22,lowP_SynCom9,yes,1,87.62,7.75,,
Experiment 2,04.07.22,lowP_SynCom9,yes,2,84.09,8.03,,
Experiment 2,04.07.22,lowP_SynCom9,yes,3,89.12,8.68,,
Experiment 2,04.07.22,lowP_SynCom9,yes,4,46.46,4.55,,
Experiment 2,04.07.22,lowP_SynCom9,yes,5,62.98,6.55,,
Experiment 2,04.07.22,lowP_SynCom9,yes,6,75.82,7.23,,
Experiment 2,04.07.22,lowP_SynCom9,yes,7,108.79,10.09,,
Experiment 2,04.07.22,lowP_SynCom9,yes,8,96.2,9.08,,
Experiment 2,04.07.22,lowP_SynCom9,yes,9,61.66,5.59,,
Experiment 2,04.07.22,lowP_SynCom9,yes,10,64.81,5.79,,
